карта клиента,сумма покупки,Источник,Дата покупки
2000200150008,190,ВК,2023-03-23
2000200150015,226,Инстаграм,2023-04-23
2000200150015,312,ВК,2023-09-20
2000200150053,253,ВК,2023-04-10
2000200150053,286,ВК,2023-06-16
2000200150053,375,Яндекс,2023-07-12
2000200150053,113,ВК,2023-07-28
2000200150084,317,Яндекс,2023-11-10
2000200150084,526,ВК,2023-11-11
2000200150084,100,ВК,2023-11-16
2000200150084,863,ВК,2023-12-20
2000200150084,573,Яндекс,2023-12-21
2000200150084,1619,Инстаграм,2023-12-28
2000200150091,242,Яндекс,2023-03-10
2000200150091,655,ВК,2023-05-28
2000200150091,546,ВК,2023-09-11
2000200150091,1911,ВК,2023-11-16
2000200150091,224,Яндекс,2023-11-20
2000200150091,558,ВК,2023-11-26
2000200150091,399,Инстаграм,2023-11-27
2000200150091,224,ВК,2023-12-15
2000200150091,403,Яндекс,2023-12-23
2000200150114,1405,Яндекс,2023-06-11
2000200150138,1045,Яндекс,2023-02-17
2000200150138,128,Телеграм,2023-07-21
2000200150138,1217,Инстаграм,2023-12-13
2000200150145,228,Яндекс,2023-01-14
2000200150145,1994,Яндекс,2023-01-18
2000200150145,1341,Инстаграм,2023-01-20
2000200150145,323,Яндекс,2023-01-22
2000200150145,403,Инстаграм,2023-01-22
2000200150145,361,Телеграм,2023-01-25
2000200150145,849,Инстаграм,2023-02-23
2000200150145,168,ВК,2023-02-24
2000200150145,2491,Инстаграм,2023-06-21
2000200150213,3231,Телеграм,2023-09-15
2000200150220,612,Инстаграм,2023-05-17
2000200150220,2214,Телеграм,2023-11-18
2000200150237,1459,Телеграм,2023-03-18
2000200150244,1208,ВК,2023-11-23
2000200150299,555,Телеграм,2023-02-18
2000200150299,68,Инстаграм,2023-10-15
2000200150299,962,Инстаграм,2023-12-15
2000200150329,1615,Яндекс,2023-01-15
2000200150336,606,Инстаграм,2023-06-10
2000200150336,271,Телеграм,2023-06-11
2000200150336,4785,Инстаграм,2023-10-13
2000200150343,1734,Инстаграм,2023-04-13
2000200150442,1297,Инстаграм,2023-02-16
2000200150442,70,Телеграм,2023-05-18
2000200150442,148,ВК,2023-06-16
2000200150442,225,Яндекс,2023-08-19
2000200150442,547,Телеграм,2023-08-26
2000200150442,2583,Телеграм,2023-10-21
2000200150442,223,Инстаграм,2023-10-25
2000200150442,591,ВК,2023-11-18
2000200150442,91,Яндекс,2023-11-23
2000200150442,231,Инстаграм,2023-11-25
2000200150442,598,ВК,2024-01-16
2000200150442,266,Инстаграм,2024-01-27
2000200150459,146,Телеграм,2023-02-22
2000200150459,460,ВК,2023-07-19
2000200150480,1850,Инстаграм,2023-08-26
2000200150565,802,ВК,2023-02-18
2000200150565,799,Телеграм,2023-03-17
2000200150565,715,Инстаграм,2023-03-22
2000200150565,896,Телеграм,2023-04-26
2000200150565,548,Инстаграм,2023-07-10
2000200150565,861,Яндекс,2023-08-17
2000200150565,129,Телеграм,2023-09-12
2000200150565,1366,ВК,2023-09-23
2000200150565,272,Инстаграм,2023-09-27
2000200150565,1141,Инстаграм,2023-10-13
2000200150565,439,Яндекс,2023-10-14
2000200150565,1109,Телеграм,2023-12-23
2000200150565,216,Инстаграм,2023-12-27
2000200150565,414,Яндекс,2024-01-14
2000200150565,172,Инстаграм,2024-01-19
2000200150589,233,Телеграм,2023-03-24
2000200150589,752,Инстаграм,2023-09-13
2000200150596,198,Телеграм,2023-08-23
2000200150602,82,Телеграм,2023-10-26
2000200150602,726,Инстаграм,2024-01-25
2000200150725,268,Яндекс,2023-11-10
2000200150756,678,Инстаграм,2023-07-23
2000200150794,566,Яндекс,2023-03-14
2000200150794,262,ВК,2023-05-19
2000200150794,372,ВК,2023-06-13
2000200150794,3554,Яндекс,2023-09-24
2000200150794,133,Инстаграм,2023-11-20
2000200150831,352,Инстаграм,2023-12-26
2000200150893,2267,Яндекс,2023-03-10
2000200150930,180,Яндекс,2023-02-15
2000200150930,327,Инстаграм,2023-04-19
2000200150930,215,Яндекс,2023-04-24
2000200150930,78,ВК,2023-07-16
2000200150947,2432,Яндекс,2023-04-19
2000200150947,1729,Инстаграм,2023-06-18
2000200150947,1069,Телеграм,2023-10-27
2000200150954,512,ВК,2023-02-13
2000200150954,599,Телеграм,2023-04-12
2000200150954,155,Инстаграм,2023-06-11
2000200150954,198,Телеграм,2023-08-20
2000200150954,102,Телеграм,2023-11-25
2000200151005,794,ВК,2023-06-10
2000200151005,176,Телеграм,2023-06-16
2000200151005,459,Телеграм,2023-06-22
2000200151005,626,ВК,2023-09-25
2000200151029,1012,Яндекс,2023-02-24
2000200151029,718,Яндекс,2023-03-19
2000200151029,1968,ВК,2023-03-26
2000200151029,1648,Яндекс,2023-07-13
2000200151029,1707,Яндекс,2023-08-11
2000200151029,943,Телеграм,2023-10-20
2000200151029,689,Инстаграм,2023-12-12
2000200151029,3480,Яндекс,2023-12-13
2000200151074,327,Яндекс,2023-10-15
2000200151333,606,Телеграм,2023-05-12
2000200151333,473,Яндекс,2023-05-15
2000200151364,1000,Яндекс,2023-08-11
2000200151364,401,Телеграм,2023-09-10
2000200151364,611,Инстаграм,2023-10-28
2000200151364,705,Телеграм,2023-11-14
2000200151364,68,Яндекс,2023-11-17
2000200151364,378,Инстаграм,2023-11-20
2000200151364,755,ВК,2023-12-27
2000200151364,3077,ВК,2024-01-17
2000200151364,162,Телеграм,2024-01-17
2000200151418,779,Телеграм,2023-04-16
2000200151418,1314,ВК,2023-04-16
2000200151418,1397,Яндекс,2023-06-11
2000200151418,212,Яндекс,2023-06-13
2000200151418,1353,Телеграм,2023-07-13
2000200151418,1484,Телеграм,2023-07-21
2000200151418,1729,Яндекс,2023-08-19
2000200151418,774,Телеграм,2023-09-20
2000200151418,685,ВК,2023-11-21
2000200151418,1121,Инстаграм,2023-11-26
2000200151418,1461,ВК,2023-12-10
2000200151418,868,ВК,2024-01-12
2000200151517,733,ВК,2023-03-12
2000200151517,699,Телеграм,2023-06-10
2000200151517,716,Яндекс,2023-08-23
2000200151517,670,ВК,2023-10-26
2000200151517,707,ВК,2024-01-16
2000200151531,2958,Инстаграм,2023-02-10
2000200151531,4469,Яндекс,2024-01-28
2000200151586,150,Инстаграм,2023-12-17
2000200151609,517,Телеграм,2023-02-22
2000200151609,233,Инстаграм,2023-04-14
2000200151609,728,ВК,2023-09-28
2000200151609,830,Инстаграм,2023-11-11
2000200151678,424,Телеграм,2023-11-15
2000200151678,1335,Яндекс,2023-11-24
2000200151678,395,Инстаграм,2023-12-12
2000200151678,603,Инстаграм,2023-12-16
2000200151678,148,Инстаграм,2023-12-19
2000200151678,3065,Телеграм,2023-12-22
2000200151678,102,Телеграм,2023-12-25
2000200151678,311,ВК,2023-12-25
2000200151715,5116,Яндекс,2023-09-28
2000200151760,1166,Яндекс,2023-02-13
2000200151760,708,Телеграм,2023-02-24
2000200151760,431,Яндекс,2023-04-15
2000200151760,578,ВК,2023-04-25
2000200151760,753,Инстаграм,2023-09-26
2000200151814,419,Телеграм,2023-02-21
2000200151814,128,ВК,2023-02-25
2000200151814,1745,Телеграм,2023-10-26
2000200151821,1391,ВК,2023-09-24
2000200151821,1977,Инстаграм,2023-11-25
2000200151821,1208,Яндекс,2023-12-11
2000200151821,334,Яндекс,2023-12-15
2000200151838,545,Яндекс,2023-08-11
2000200151869,177,Инстаграм,2023-03-28
2000200151869,2165,Телеграм,2023-08-18
2000200151869,1264,Телеграм,2023-08-20
2000200151869,349,Инстаграм,2024-01-17
2000200151906,779,Телеграм,2023-03-28
2000200151951,41,ВК,2023-07-20
2000200151951,206,ВК,2023-08-16
2000200151975,1009,ВК,2023-09-27
2000200152033,1631,ВК,2023-03-20
2000200152033,3949,ВК,2023-08-13
2000200152033,4425,Яндекс,2024-01-14
2000200152064,202,Телеграм,2023-02-15
2000200152064,3119,Инстаграм,2023-04-28
2000200152064,4546,Телеграм,2023-08-19
2000200152064,617,Инстаграм,2023-08-25
2000200152088,579,Яндекс,2023-02-20
2000200152088,390,ВК,2023-02-26
2000200152088,637,Инстаграм,2023-08-13
2000200152088,1572,ВК,2023-09-18
2000200152088,415,Инстаграм,2023-09-27
2000200152118,73,Яндекс,2023-03-12
2000200152118,48,Инстаграм,2023-07-12
2000200152118,322,Телеграм,2023-07-18
2000200152163,889,ВК,2023-02-17
2000200152163,421,Инстаграм,2023-06-10
2000200152163,620,Инстаграм,2023-07-13
2000200152163,186,Инстаграм,2023-08-23
